Date,Category,Brand,Day_of_Week,Holiday_Indicator,Past_Purchase_Trends,Price,Discount,Competitor_Price,Sales_Quantity
11/8/2023,Automotive,BrandA,4,0,40.2,448.85,45.35,106.24,200
11/8/2023,Automotive,BrandA,4,0,43.7,154.24,7.88,150.36,47
11/8/2023,Automotive,BrandA,4,0,92.1,165.65,9.7,99.14,383
11/8/2023,Automotive,BrandA,4,0,95.3,286.19,38.04,99.44,182
7/8/2023,Automotive,BrandA,0,0,10.9,491.41,48.32,180.01,47
7/8/2023,Automotive,BrandA,0,0,78.9,368.99,48.61,362.6,255
3/8/2023,Automotive,BrandA,3,0,40.6,251.24,47.85,165.87,370
3/8/2023,Automotive,BrandA,3,0,9.5,178.16,22.73,320.57,231
30/07/23,Automotive,BrandA,6,1,83.8,202.19,6.46,85.39,288
30/07/23,Automotive,BrandA,6,1,21.5,222.89,30.85,338.43,372
30/07/23,Automotive,BrandA,6,1,40.7,225.12,15.53,254.77,377
30/07/23,Automotive,BrandA,6,1,83.6,174.39,16.07,145.76,384
30/07/23,Automotive,BrandA,6,1,67.6,349.04,5.11,78.34,43
26/07/23,Automotive,BrandA,2,0,64,116.51,9.93,186.79,112
22/07/23,Automotive,BrandA,5,0,42.8,259.23,26.43,362.65,187
22/07/23,Automotive,BrandA,5,0,74.5,437.03,20.87,434.64,322
18/07/23,Automotive,BrandA,1,0,42.5,57.64,11.23,375.5,362
18/07/23,Automotive,BrandA,1,0,95,313.72,5.31,115.19,398
18/07/23,Automotive,BrandA,1,0,20.3,490.07,35.85,443.77,42
14/07/23,Automotive,BrandA,4,0,5.3,389.33,10.23,208.57,179
14/07/23,Automotive,BrandA,4,0,73,480.76,21.95,302.79,137
14/07/23,Automotive,BrandA,4,0,15.8,212.05,41.67,115.78,76
6/7/2023,Automotive,BrandA,3,0,75.6,437.37,20.92,126.41,234
2/7/2023,Automotive,BrandA,6,1,100,340.86,26.72,410.61,208
2/7/2023,Automotive,BrandA,6,1,25.2,406.72,35.34,220.8,123
24/06/23,Automotive,BrandA,5,0,25.3,226.68,45.11,243.43,211
20/06/23,Automotive,BrandA,1,0,81.5,464.39,20.01,73.62,
16/06/23,Automotive,BrandA,4,0,16.1,280.02,38.6,185.61,324
8/6/2023,Automotive,BrandA,3,0,46.9,156.24,9.15,197.64,125
31/05/23,Automotive,BrandA,2,0,72.5,173.34,39.24,96.22,468
31/05/23,Automotive,BrandA,2,0,37.5,273.34,24.87,429.09,380
23/05/23,Automotive,BrandA,1,0,50.7,469.28,21.17,65.19,499
23/05/23,Automotive,BrandA,1,0,35.4,134.76,8.14,162.28,463
7/5/2023,Automotive,BrandA,6,1,56.8,76.79,40.55,51.16,489
3/5/2023,Automotive,BrandA,2,0,60.3,433.47,23.56,94.26,59
29/04/23,Automotive,BrandA,5,0,95.1,154.53,7.18,201.36,443
29/04/23,Automotive,BrandA,5,0,22.8,285.73,38.85,52.61,291
29/04/23,Automotive,BrandA,5,0,58.9,370.03,9.11,176.36,
29/04/23,Automotive,BrandA,5,0,96.1,54.85,5.44,391.54,141
25/04/23,Automotive,BrandA,1,0,78.8,147.48,26.38,295.85,78
21/04/23,Automotive,BrandA,4,0,37.5,430.68,34.62,307.33,497
21/04/23,Automotive,BrandA,4,0,38.5,277.91,9.44,76.32,179
17/04/23,Automotive,BrandA,0,0,37.9,217.1,22.78,199.9,111
9/4/2023,Automotive,BrandA,6,1,11.6,51.82,35.9,319.81,151
20/03/23,Automotive,BrandA,0,0,52.2,467.53,49.34,471.71,317
16/03/23,Automotive,BrandA,3,0,15.9,241.76,25.12,435.87,288
12/3/2023,Automotive,BrandA,6,1,23.9,51.61,32.44,450.43,496
12/3/2023,Automotive,BrandA,6,1,30.3,284.66,9.32,339.38,205
8/3/2023,Automotive,BrandA,2,0,46.8,97.49,9.32,198.51,153
8/3/2023,Automotive,BrandA,2,0,18,93.39,37.57,268.61,434
8/3/2023,Automotive,BrandA,2,0,60.2,139.02,32.81,181.13,75
4/3/2023,Automotive,BrandA,5,0,91,295.46,48.96,450.52,360
28/02/23,Automotive,BrandA,1,0,83.7,108.93,15.28,335.02,230
20/02/23,Automotive,BrandA,0,0,21.3,454.27,7.42,70.78,330
20/02/23,Automotive,BrandA,0,0,66.7,350.47,23.8,477.33,277
12/2/2023,Automotive,BrandA,6,1,33.2,106.91,34.27,264.67,220
12/2/2023,Automotive,BrandA,6,1,83.8,143.55,12.22,205.57,381
4/2/2023,Automotive,BrandA,5,0,40.5,283.36,23.93,373.99,261
31/01/23,Automotive,BrandA,1,0,94.6,200.74,15.35,252.56,34
27/01/23,Automotive,BrandA,4,0,54.7,499.38,30.33,336.25,387
23/01/23,Automotive,BrandA,0,0,51,469.71,10.64,379.64,346
7/1/2023,Automotive,BrandA,5,0,93.1,95.03,28.57,272.21,190
3/1/2023,Automotive,BrandA,1,0,40.2,158.09,47.08,238.47,
3/1/2023,Automotive,BrandA,1,0,73.7,456.45,9.18,134.75,471
30/12/22,Automotive,BrandA,4,0,18.1,360.13,36.33,369.05,72
26/12/22,Automotive,BrandA,0,0,95.2,474.46,15.22,181.37,177
22/12/22,Automotive,BrandA,3,0,21,274.19,13.86,189.39,52
18/12/22,Automotive,BrandA,6,1,60.6,195.51,34.6,246.08,416
18/12/22,Automotive,BrandA,6,1,97.2,424.96,10.92,413.55,157
18/12/22,Automotive,BrandA,6,1,63.8,467.23,46.53,258.04,468
14/12/22,Automotive,BrandA,2,0,75,321.42,24,213.04,137
14/12/22,Automotive,BrandA,2,0,97.8,143.71,45.63,434.84,43
14/12/22,Automotive,BrandA,2,0,97.7,314.97,14.38,288.88,315
10/12/2022,Automotive,BrandA,5,0,61,420.8,18.97,310.95,295
10/12/2022,Automotive,BrandA,5,0,15.8,361.25,8.27,455.52,273
6/12/2022,Automotive,BrandA,1,0,6.3,368.34,14.48,191.29,492
6/12/2022,Automotive,BrandA,1,0,64.8,78.77,22.73,466.85,312
6/12/2022,Automotive,BrandA,1,0,11.2,363.94,24.53,49.57,333
28/11/22,Automotive,BrandA,0,0,7,293.21,9.92,472.17,262
24/11/22,Automotive,BrandA,3,0,53,354.55,21.1,419.52,120
20/11/22,Automotive,BrandA,6,1,52.3,406.78,20.92,436,311
20/11/22,Automotive,BrandA,6,1,94.1,198.47,20.52,355.02,357
20/11/22,Automotive,BrandA,6,1,61.5,423.25,47.85,221.88,312
16/11/22,Automotive,BrandA,2,0,22.5,282.81,27.26,457.09,337
12/11/2022,Automotive,BrandA,5,0,50.1,461.27,11.17,448.48,187
8/11/2022,Automotive,BrandA,1,0,91.4,442.28,21.93,434.32,158
4/11/2022,Automotive,BrandA,4,0,6.7,285.94,32.46,332.34,278
31/10/22,Automotive,BrandA,0,0,91.9,385.49,40.02,346.96,392
23/10/22,Automotive,BrandA,6,1,42.9,81.77,26.6,77.57,113
15/10/22,Automotive,BrandA,5,0,25.3,467.72,11.07,42.81,42
11/10/2022,Automotive,BrandA,1,0,21.1,275.12,42.34,274,443
7/10/2022,Automotive,BrandA,4,0,41.7,114.4,25.32,387.32,119
7/10/2022,Automotive,BrandA,4,0,50.3,409.09,20.63,421.5,348
3/10/2022,Automotive,BrandA,0,0,85.5,269.84,39.78,368.5,439
29/09/22,Automotive,BrandA,3,0,36.2,318.88,42.01,404.82,259
29/09/22,Automotive,BrandA,3,0,25.4,331.73,13.58,204.66,352
25/09/22,Automotive,BrandA,6,1,16.2,142.12,29.42,66.26,229
25/09/22,Automotive,BrandA,6,1,50.2,449.65,24.55,340.01,190
21/09/22,Automotive,BrandA,2,0,87.8,347.25,24.24,181.01,232
21/09/22,Automotive,BrandA,2,0,58.4,166.08,40.08,125.6,338
17/09/22,Automotive,BrandA,5,0,42.7,69.09,17.81,209.36,74
13/09/22,Automotive,BrandA,1,0,20.8,378.01,34.2,159.89,328
5/9/2022,Automotive,BrandA,0,0,26.1,186.26,42.7,394.47,275
24/08/22,Automotive,BrandA,2,0,25.9,133.1,26.34,164.26,284
20/08/22,Automotive,BrandA,5,0,41.8,496.85,11.12,76.05,316
20/08/22,Automotive,BrandA,5,0,60.7,383.18,9.03,217.02,491
12/8/2022,Automotive,BrandA,4,0,46.4,345.41,8.68,311.01,11
27/07/22,Automotive,BrandA,2,0,24.7,394.59,11.75,267.38,307
23/07/22,Automotive,BrandA,5,0,18,120.25,43.42,446.84,384
11/7/2022,Automotive,BrandA,0,0,31.4,461.48,28.79,361.85,191
7/7/2022,Automotive,BrandA,3,0,33.9,195.18,27.21,316.24,123
21/06/22,Automotive,BrandA,1,0,13.9,483.93,11.27,128.25,411
21/06/22,Automotive,BrandA,1,0,39.9,275.24,33.9,201.33,453
21/06/22,Automotive,BrandA,1,0,86.5,196.45,41.15,473.81,96
21/06/22,Automotive,BrandA,1,0,19.4,392.87,12.47,140.02,81
17/06/22,Automotive,BrandA,4,0,34.3,258.73,38.58,56.32,348
13/06/22,Automotive,BrandA,0,0,83.1,166.91,37.82,344.03,175
13/06/22,Automotive,BrandA,0,0,74.4,332.06,42.65,250.64,46
9/6/2022,Automotive,BrandA,3,0,84.8,64.73,6.6,205.76,99
9/6/2022,Automotive,BrandA,3,0,78.5,436.98,47.81,238.52,276
1/6/2022,Automotive,BrandA,2,0,12.9,106.7,45.12,65.13,341
24/05/22,Automotive,BrandA,1,0,42.2,470.42,42.01,343.11,253
20/05/22,Automotive,BrandA,4,0,73.8,410.86,35.61,224.82,482
16/05/22,Automotive,BrandA,0,0,62.8,85.12,21.73,469.55,414
16/05/22,Automotive,BrandA,0,0,28.6,213.9,20.57,98.94,215
12/5/2022,Automotive,BrandA,3,0,96.6,130.31,28.07,171.63,391
12/5/2022,Automotive,BrandA,3,0,22.2,470.12,38.61,286.57,291
8/5/2022,Automotive,BrandA,6,1,25.4,228.04,27.64,385.19,59
4/5/2022,Automotive,BrandA,2,0,48.8,257.48,30.97,73.15,213
30/04/22,Automotive,BrandA,5,0,75.6,117.4,42.92,268.62,149
26/04/22,Automotive,BrandA,1,0,20.5,219.04,26.43,348.8,23
18/04/22,Automotive,BrandA,0,0,86.1,115.58,28.57,62.01,407
18/04/22,Automotive,BrandA,0,0,95,217.7,18.01,461.12,475
14/04/22,Automotive,BrandA,3,0,28.1,455.72,41.02,277.51,323
14/04/22,Automotive,BrandA,3,0,43.3,308.8,28.17,350.43,169
10/4/2022,Automotive,BrandA,6,1,44,208.92,7.56,149.43,116
10/4/2022,Automotive,BrandA,6,1,38.6,492.32,16.88,85.76,361
6/4/2022,Automotive,BrandA,2,0,52.5,108.54,10.6,397.47,345
29/03/22,Automotive,BrandA,1,0,86.1,352.63,31.21,111.06,
29/03/22,Automotive,BrandA,1,0,82,81.83,48.72,52.26,261
29/03/22,Automotive,BrandA,1,0,89.1,104.67,7.64,128.09,160
29/03/22,Automotive,BrandA,1,0,29.9,143.72,12.78,374.26,40
17/03/22,Automotive,BrandA,3,0,17.9,127.24,45.66,351.75,211
13/03/22,Automotive,BrandA,6,1,66.8,487.6,40.85,233.52,133
13/03/22,Automotive,BrandA,6,1,17.1,396.96,32.31,470.03,119
5/3/2022,Automotive,BrandA,5,0,98.8,334.21,41.75,82.64,341
5/3/2022,Automotive,BrandA,5,0,95,129.58,48.74,290.66,243
1/3/2022,Automotive,BrandA,1,0,41.4,101.21,18.59,199.52,268
1/3/2022,Automotive,BrandA,1,0,32.4,107.13,23.19,243.45,458
21/02/22,Automotive,BrandA,0,0,45.8,381.2,41.47,447.92,271
17/02/22,Automotive,BrandA,3,0,70.9,111.87,37.74,477.45,
9/2/2022,Automotive,BrandA,2,0,12.5,103.06,10.47,151.82,44
9/2/2022,Automotive,BrandA,2,0,30.9,320.32,42.13,407.85,480
5/2/2022,Automotive,BrandA,5,0,70.3,378.07,29.51,51.32,419
5/2/2022,Automotive,BrandA,5,0,23.7,439.81,35.26,365.04,154
28/01/22,Automotive,BrandA,4,0,79.7,323.17,37.26,333.57,224
28/01/22,Automotive,BrandA,4,0,48,116.39,39.02,57.52,346
24/01/22,Automotive,BrandA,0,0,42,404.78,15.95,215.14,367
24/01/22,Automotive,BrandA,0,0,16,457.59,18.95,173.45,440
24/01/22,Automotive,BrandA,0,0,91.7,449.06,11.63,461,92
20/01/22,Automotive,BrandA,3,0,45.4,283.64,40.89,369.72,82
20/01/22,Automotive,BrandA,3,0,5.5,415.6,19.05,328.69,271
16/01/22,Automotive,BrandA,6,1,39.1,75.17,41.9,284.95,54
16/01/22,Automotive,BrandA,6,1,20.8,135.11,9.5,378.58,158
12/1/2022,Automotive,BrandA,2,0,41.5,263.12,25.91,394.21,80
8/1/2022,Automotive,BrandA,5,0,84.7,283.76,18.54,403.09,117
8/1/2022,Automotive,BrandA,5,0,82,239.89,48.56,265.94,398
4/1/2022,Automotive,BrandA,1,0,90.2,153.27,32.6,259.92,179
31/12/21,Automotive,BrandA,4,0,33.8,310.09,11.17,237.27,164
31/12/21,Automotive,BrandA,4,0,51.7,50.73,11.1,156.58,256
23/12/21,Automotive,BrandA,3,0,51.8,408.81,6.37,128.57,12
19/12/21,Automotive,BrandA,6,1,80.3,211.76,20.53,185.44,287
19/12/21,Automotive,BrandA,6,1,35.5,429.79,21.76,365.85,424
15/12/21,Automotive,BrandA,2,0,41.6,300.24,19,63.24,130
11/12/2021,Automotive,BrandA,5,0,10.2,179.58,16.11,171.99,411
11/12/2021,Automotive,BrandA,5,0,75.1,359.79,11.34,349.06,455
7/12/2021,Automotive,BrandA,1,0,31.9,135.05,5.26,319.71,393
7/12/2021,Automotive,BrandA,1,0,84.6,114.42,44.6,221.39,354
3/12/2021,Automotive,BrandA,4,0,60,189.4,45,326.14,323
29/11/21,Automotive,BrandA,0,0,47.8,411.23,38.61,324.68,487
25/11/21,Automotive,BrandA,3,0,96.4,419.31,30.86,207.96,238
21/11/21,Automotive,BrandA,6,1,7.2,136.09,41.07,141.08,153
21/11/21,Automotive,BrandA,6,1,42.1,252.04,43.44,236.55,483
17/11/21,Automotive,BrandA,2,0,82.9,60.81,11.23,107.01,277
17/11/21,Automotive,BrandA,2,0,37.4,462.13,12.93,239.79,290
9/11/2021,Automotive,BrandA,1,0,28.5,425.35,41.21,336.59,471
9/11/2021,Automotive,BrandA,1,0,87.6,459.03,42.1,400.77,268
28/10/21,Automotive,BrandA,3,0,7.2,420.68,21.47,150.52,22
24/10/21,Automotive,BrandA,6,1,40.8,429.36,12.45,387.03,18
24/10/21,Automotive,BrandA,6,1,28,162.26,46.27,267.89,276
20/10/21,Automotive,BrandA,2,0,70,422.82,7.87,346.23,417
20/10/21,Automotive,BrandA,2,0,63.1,415.9,23.68,242.09,255
4/10/2021,Automotive,BrandA,0,0,98.1,408.21,33.89,339.25,464
26/09/21,Automotive,BrandA,6,1,22.9,207.86,39.23,331.3,10
26/09/21,Automotive,BrandA,6,1,97.2,436.29,8.56,436.89,441
22/09/21,Automotive,BrandA,2,0,97.8,224.85,24.42,444.02,310
18/09/21,Automotive,BrandA,5,0,93,134.16,32.44,289.74,306
14/09/21,Automotive,BrandA,1,0,36.3,459.2,44.57,445.37,432
10/9/2021,Automotive,BrandA,4,0,61.1,418.7,24.18,428.55,323
6/9/2021,Automotive,BrandA,0,0,46.5,223.8,20.2,168.21,248
6/9/2021,Automotive,BrandA,0,0,81.4,421.04,7.95,179.28,317
2/9/2021,Automotive,BrandA,3,0,93.4,330.07,20.82,436.63,78
29/08/21,Automotive,BrandA,6,1,89.6,469,22.47,340.58,430
29/08/21,Automotive,BrandA,6,1,77.3,359.58,41.63,153.04,262
29/08/21,Automotive,BrandA,6,1,40.8,411.54,17.93,336.66,100
25/08/21,Automotive,BrandA,2,0,79.9,463.99,22.67,70.1,350
25/08/21,Automotive,BrandA,2,0,66.4,455.35,33.8,158.54,121
13/08/21,Automotive,BrandA,4,0,64.8,55.15,16.86,277.28,355
13/08/21,Automotive,BrandA,4,0,65,112.68,40.87,119.95,88
9/8/2021,Automotive,BrandA,0,0,61.6,467.33,10.68,61.71,49
1/8/2021,Automotive,BrandA,6,1,72.7,387.47,36.98,443.18,143
1/8/2021,Automotive,BrandA,6,1,22.5,414.91,42.16,329.68,191
1/8/2021,Automotive,BrandA,6,1,35.2,80.49,29.02,300.47,230
28/07/21,Automotive,BrandA,2,0,93.5,268.39,10.89,167.02,440
20/07/21,Automotive,BrandA,1,0,97.8,63.17,39.89,345.01,316
16/07/21,Automotive,BrandA,4,0,22.2,357.09,42.31,284.85,144
16/07/21,Automotive,BrandA,4,0,51.4,51.53,37.64,234.03,460
12/7/2021,Automotive,BrandA,0,0,79,219.93,33.15,248.86,310
8/7/2021,Automotive,BrandA,3,0,64.9,170.1,39.25,158.64,458
4/7/2021,Automotive,BrandA,6,1,77.9,411.38,14.24,368.98,391
4/7/2021,Automotive,BrandA,6,1,75.3,96.55,17.63,394.42,186
26/06/21,Automotive,BrandA,5,0,32.3,449.6,16.97,250.04,296
22/06/21,Automotive,BrandA,1,0,33.5,323.4,48.7,440.97,320
18/06/21,Automotive,BrandA,4,0,46.7,259.74,30.85,48.91,386
18/06/21,Automotive,BrandA,4,0,57.1,129.54,38.65,435.2,461
14/06/21,Automotive,BrandA,0,0,34.8,63.94,5.03,283.28,467
10/6/2021,Automotive,BrandA,3,0,26.3,342.1,24.33,252.83,416
6/6/2021,Automotive,BrandA,6,1,46,373.7,33.02,400.86,276
6/6/2021,Automotive,BrandA,6,1,53.4,284.9,18.68,419.61,182
2/6/2021,Automotive,BrandA,2,0,97.5,79.05,46.73,208.81,131
29/05/21,Automotive,BrandA,5,0,76.2,325.56,27.77,147.53,480
29/05/21,Automotive,BrandA,5,0,24.4,444.54,49.71,387.94,132
29/05/21,Automotive,BrandA,5,0,87.1,113.3,13.29,379.14,433
21/05/21,Automotive,BrandA,4,0,97.7,69.11,26.56,217.82,244
21/05/21,Automotive,BrandA,4,0,95.3,80.69,25.82,231.45,486
13/05/21,Automotive,BrandA,3,0,85.3,221.2,49.17,326.96,415
